Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
France,FRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,43850,44350,43380,43780,43320,41080,38900,38310,41080,..
France,FRA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,40638.33400426,41329.035368916,41258.2747353878,41282.9908070269,41478.2469655007,41765.2440265444,42054.5312580687,43001.5912851838,43663.5849236082,..
France,FRA,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,..,..,..,..,..,..,..,..,..,..
France,FRA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.5,8.4,8.7,8.7,8.5,8.9,8.9,9,..,..
France,FRA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.9,12.7,12.6,12.4,12.4,12,11.7,11.4,..,..
France,FRA,Age dependency ratio (% of working-age population),SP.POP.DPND,54.6309059178848,55.3352475317806,56.2593734180805,57.3243510783714,58.3809893423292,59.3207255978095,60.0759532638837,60.716987788684,61.2671463231552,..
Germany,DEU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,44790,47360,46710,47410,47820,46020,44360,43710,47180,..
Germany,DEU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,41785.556912554,44125.3314116503,44259.2599053983,44354.7368865267,45132.2736332789,45521.3192823697,46167.8307842585,46987.787982009,47501.812652083,..
Germany,DEU,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,..,..,..,..,..,..,..,..,..,..
Germany,DEU,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.5,10.6,10.8,11.1,10.7,11.3,11.1,11.3,..,..
Germany,DEU,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,8.3,8.3,8.4,8.5,8.8,9,9.6,9.5,..,..
Germany,DEU,Age dependency ratio (% of working-age population),SP.POP.DPND,51.7937457997838,52.0097511222545,52.0953973406867,52.1320952080022,52.2446834584225,52.5216312802673,52.9145728699203,53.4264177539329,54.0428350491469,..
Belgium,BEL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,47920,47120,47280,47500,46920,44180,42530,42080,45340,..
Belgium,BEL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,44380.1766327308,44594.3044592717,44422.6532488853,44302.4842741431,44659.6394153436,45174.0108192611,45598.7350953448,46211.2328937522,46683.1574094451,..
Belgium,BEL,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.7,9.4,9.8,9.8,9.3,9.8,9.5,9.6,..,..
Belgium,BEL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.9,11.7,11.5,11.3,11.2,10.8,10.8,10.5,..,..
Belgium,BEL,Age dependency ratio (% of working-age population),SP.POP.DPND,52.0144279661342,52.3287119230453,52.7442633911964,53.236903384491,53.7373881178284,54.193605740924,54.7713516344904,55.3290794008081,55.8704697088111,..
Afghanistan,AFG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,510,530,630,660,630,600,570,550,550,..
Afghanistan,AFG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,543.303041863931,528.736648057768,576.190125450699,587.565090150176,583.656192833121,574.184114271258,571.073774523561,571.542505760778,563.825662667794,..
Afghanistan,AFG,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,15.3333312078379,14.7750027931415,13.623103982865,12.5381821806992,12.75711580017,13.1276472503731,13.3446755861582,13.3899001927697,13.3710182381595,..
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.25,7.936,7.645,7.38,7.141,6.929,6.742,6.575,..,..
Afghanistan,AFG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,39.829,38.75,37.69,36.67,35.706,34.809,33.981,33.211,..,..
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,102.045822933537,100.22446079515,97.9259470792508,95.3387417894031,92.6491409190029,89.9540923341871,87.9417901503625,86.0007530959387,84.0776560757747,..
Albania,ALB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4360,4410,4360,4540,4540,4390,4320,4290,4860,..
Albania,ALB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,4094.35881639579,4209.88695219496,4276.6202478014,4327.39248368552,4413.11511327183,4524.68456526035,4683.74389007532,4867.91640496315,5075.35498488403,..
Albania,ALB,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,46.0819555177538,50.3228903929085,60.4278984470584,69.7728631934216,64.7246325669321,75.133633936988,72.5172020148533,77.0615011273202,67.2442978720867,..
Albania,ALB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.841,6.915,6.996,7.096,7.219,7.367,7.534,7.714,..,..
Albania,ALB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.001,12.1,12.197,12.257,12.259,12.197,12.08,11.934,..,..
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,49.4779086790466,48.1180582286677,47.033079896868,46.2566558556374,45.7746795115992,45.5504024648604,45.6450337108694,45.6820974885622,45.8100373938934,..
Algeria,DZA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4480,4600,5170,5510,5500,4850,4380,3930,4060,..
Algeria,DZA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,4480.78577696483,4524.34898195879,4586.65166311259,4620.13217862577,4698.66471062642,4776.78754332509,4834.23020306509,4812.15845608835,4815.57052734521,..
Algeria,DZA,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,4.51456412128455,3.06452264886276,2.68825409519683,2.55561682668143,2.63961317487196,2.89201839792834,3.44548784967946,3.45955188496206,3.21626737502647,..
Algeria,DZA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.656,4.67,4.685,4.699,4.709,4.715,4.717,4.717,..,..
Algeria,DZA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,24.504,24.934,25.246,25.451,25.538,25.481,25.25,24.846,..,..
Algeria,DZA,Age dependency ratio (% of working-age population),SP.POP.DPND,48.6745355689317,49.2130947282274,49.7782226763803,50.4972171724543,51.5091894345198,52.8377883037925,54.1840138271847,55.8040014735226,57.508032444058,..
American Samoa,ASM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,10271.2245225485,10360.5091546826,9921.80610804858,9640.34446203249,9717.82905631836,9835.41031865631,9589.9798367323,9093.80361071906,..,..
American Samoa,ASM,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..,..,..,..,4.2,..,..,..,..,..
American Samoa,ASM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,18.7,..,..,..,17.5,..,..,..,..,..
American Samoa,ASM,Age dependency ratio (% of working-age population),SP.POP.DPND,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,..,..,..,..,..,..
Andorra,AND,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,39736.3540626699,38207.5959074045,38192.4398900703,39111.0795278003,40790.198010639,41767.5265081665,42949.6662371557,43858.0775135619,44569.7830090145,..
