Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,AFG,Age dependency ratio (% of working-age population),SP.POP.DPND,102.249013873754,102.045822933537,100.22446079515,97.9259470792508,95.3387417894031,92.6491409190029,89.9540923341871,87.9417901503625,86.0007530959387,84.0776560757747
Afghanistan,AFG,"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,0.2156,0.2396,0.2553,0.245,0.2894,0.3039,0.2907,0.284,..,..
Afghanistan,AFG,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,0.6162,..,..,..,..,0.32,..,..,..,..
Afghanistan,AFG,"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,..,..,..,..,..,0.03,..,..,..,..
Afghanistan,AFG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,0.4,0.4,0.4,0.5,0.5,0.5,0.5,..,..,..
Afghanistan,AFG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,42.30451021,45.5877498,51.5532587,52.21850635,55.96754976,60.11276091,60.0888133,57.24876048,..,..
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.81848731,8.56967118,8.56190731,7.89716844,8.8059641,9.52887835,10.09395812,10.19867734,..,..
Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,50.0440775642123,49.4779086790466,48.1180582286677,47.033079896868,46.2566558556374,45.7746795115992,45.5504024648604,45.6450337108694,45.6820974885622,45.8100373938934
Albania,ALB,"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,..,..,..,..,1900,..,..,..,..,..
Albania,ALB,"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,1.144,1.2379,1.2225,1.2658,1.2706,..,..,1.1998,..,..
Albania,ALB,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,3.896,..,..,..,4.568,..,..,3.5998,..,..
